outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,3,0,0.46171355,0.13358808,0.10867607,-0.22496259,0.12831423,0.076261364,2969.445
1,3,25,0.28550547,0.15936992,0.13036004,-0.39396146,0.15177092,0.09340896,-289.17392
1,3,50,0.22461708,0.16969383,0.13916185,-0.4440028,0.15425241,0.09694896,-494.84644
1,3,75,0.22001226,0.17368665,0.14310713,-0.463921,0.14991575,0.0948648,-509.99246
1,3,100,0.2173757,0.17587519,0.14586852,-0.47757593,0.14428608,0.09171261,-512.7154
1,3,125,0.21522234,0.17676733,0.14794755,-0.4878101,0.13832583,0.0887381,-531.5957
1,3,150,0.21280116,0.17726849,0.1501228,-0.49797618,0.13240395,0.086155854,-547.84064
1,3,175,0.20970286,0.17828178,0.15229037,-0.51028526,0.12682083,0.084359065,-548.0016
1,3,200,0.2062825,0.17900257,0.15480684,-0.5222276,0.12145387,0.082895294,-558.0703
1,3,225,0.20244224,0.1784615,0.15792477,-0.5311837,0.116416015,0.08189662,-562.0839
1,3,250,0.198364,0.17802332,0.16088524,-0.54243135,0.111808576,0.08199975,-567.8111
1,3,275,0.19256058,0.17708975,0.16392583,-0.55163693,0.10741966,0.08256826,-585.0409
1,3,300,0.18718964,0.17636569,0.16609684,-0.5635796,0.10320938,0.083662644,-576.46765
1,3,325,0.17971595,0.17500305,0.16824168,-0.574329,0.09922495,0.085233994,-595.83014
1,3,350,0.17186661,0.1732986,0.1706687,-0.5828978,0.0953011,0.08687568,-597.2374
1,3,375,0.16550398,0.17184503,0.17293997,-0.5930951,0.09157045,0.08921274,-615.26904
1,3,400,0.16051546,0.17025173,0.17465894,-0.60249305,0.08798719,0.09208158,-604.17334
1,3,425,0.15191373,0.16852957,0.17639667,-0.61228096,0.08458036,0.095497124,-621.2532
1,3,450,0.1500713,0.16754404,0.17795008,-0.6217122,0.08125739,0.0989004,-623.1267
1,3,475,0.1462732,0.16648255,0.17887858,-0.63063157,0.07816051,0.10295936,-626.6255
1,3,500,0.14512946,0.16548671,0.17981069,-0.63799596,0.07514536,0.10694053,-631.7828
1,3,525,0.14348452,0.1647731,0.1801578,-0.6429701,0.07232525,0.11115384,-636.1422
1,3,550,0.1417082,0.16432583,0.18047881,-0.64627254,0.069702104,0.11559174,-643.7805
1,3,575,0.14037424,0.16347788,0.18157844,-0.64852524,0.06722477,0.1201147,-650.8024
1,3,600,0.13972756,0.16292086,0.18235259,-0.65043604,0.06479402,0.12364806,-655.6022
1,3,625,0.13964713,0.16328138,0.18322837,-0.65119606,0.062470354,0.12643674,-643.615
1,3,650,0.1381522,0.16413718,0.18403754,-0.6496865,0.060324337,0.12954593,-636.6116
1,3,675,0.13713019,0.1647359,0.1852976,-0.6461957,0.05849679,0.13378216,-654.69824
1,3,700,0.13697045,0.16625029,0.18675311,-0.6420327,0.056504577,0.1350137,-640.96185
1,3,725,0.13748555,0.1658768,0.18911979,-0.6386056,0.0547391,0.1366638,-654.6294
1,3,750,0.13389361,0.16631399,0.19202518,-0.63164043,0.05325412,0.13934523,-651.573
1,3,775,0.13851422,0.168233,0.19317293,-0.6211178,0.05176694,0.14058392,-649.7529
1,3,800,0.13526616,0.16913874,0.19743031,-0.61114633,0.050388742,0.14050686,-677.05695
1,3,825,0.13844198,0.16952601,0.20146723,-0.5998578,0.049156535,0.14154857,-668.3339
1,3,850,0.13468382,0.1723314,0.20297521,-0.5841902,0.0479786,0.14265607,-671.56836
1,3,875,0.13811946,0.17439303,0.20609614,-0.5662976,0.047125027,0.1462649,-655.9196
1,3,900,0.13556518,0.17586249,0.21140829,-0.54617274,0.046182282,0.14346206,-663.2982
1,3,925,0.13417138,0.17681988,0.21674304,-0.52685356,0.045280803,0.14014238,-649.0477
1,3,950,0.13713644,0.17782088,0.22255018,-0.5054242,0.044866007,0.1430532,-669.5866
1,3,975,0.13755487,0.18017372,0.22634088,-0.4803154,0.044594016,0.14689715,-681.67194
1,3,1000,0.14437886,0.18052848,0.23167278,-0.4524694,0.044160683,0.14611,-675.23456
1,3,1025,0.13972564,0.19137841,0.25977412,-0.28978744,0.04283946,0.12485437,-670.531
1,3,1050,0.13051328,0.1964708,0.28811044,-0.14064674,0.04204927,0.11627732,-685.767
1,3,1075,0.13216944,0.19814593,0.30238807,-0.067341916,0.04158224,0.11545793,-691.53625
1,3,1100,0.1406248,0.20121029,0.31303626,-0.036947835,0.04095447,0.11426819,-692.53296
1,3,1125,0.15088534,0.20601436,0.32566863,-0.03274716,0.04023688,0.112061925,-693.4021
1,3,1150,0.17140849,0.21119356,0.3404017,-0.040984496,0.03965707,0.11057842,-690.88464
1,3,1175,0.20120314,0.21584156,0.35537618,-0.037288345,0.039194655,0.10942624,-688.96466
1,3,1200,0.19434077,0.22089952,0.3708415,-0.033195514,0.03882801,0.10796941,-688.3353
1,3,1225,0.2778906,0.22592574,0.3832659,-0.024972258,0.038498625,0.10744504,-679.68164
1,3,1250,0.24241927,0.23174739,0.40046915,-0.034341324,0.038279627,0.106505536,-686.4443
1,3,1275,0.3415265,0.23555072,0.41328463,-0.017242799,0.038122546,0.10517859,-682.63556
