outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,3,925,0.26751876,0.33232853,0.2554425,0.57560194,0.16684955,-84.199394
1,3,950,0.24121271,0.3282549,0.23543268,0.6019027,0.1649954,-78.83851
1,3,975,0.24282952,0.33122262,0.2506609,0.59219885,0.16491029,-84.79316
1,3,1000,0.25339872,0.32379138,0.24840653,0.60378295,0.16573936,-80.445
1,4,0,0.61278945,0.13342431,0.15652339,-0.082655735,0.10690518,15733.481
1,4,25,0.33846626,0.6420373,0.61875093,0.42621377,0.2933113,175.57178
1,4,50,0.32637653,0.7781734,0.5726877,0.31270877,0.3141196,116.150826
1,4,75,0.2980988,0.6404658,0.47104922,0.24331568,0.28941733,68.104614
1,4,100,0.2862872,0.53497124,0.4172521,0.34778762,0.26172516,37.27387
1,4,125,0.28442428,0.46440244,0.409972,0.5339233,0.23709813,5.090967
1,4,150,0.28928098,0.41012737,0.41083857,0.59754413,0.21709128,-13.18161
1,4,175,0.30231768,0.39275348,0.3902827,0.6453574,0.20182902,-28.692337
1,4,200,0.3092008,0.3851028,0.38215947,0.6587478,0.19130339,-35.787872
1,4,225,0.30489755,0.3898766,0.35507378,0.67297363,0.18444921,-41.504536
1,4,250,0.29645017,0.3845232,0.352497,0.7055701,0.18034136,-46.303318
1,4,275,0.30484796,0.37992033,0.3298674,0.68769825,0.17787217,-53.48374
1,4,300,0.2985054,0.37943038,0.31848443,0.7489213,0.17491929,-64.67919
1,4,325,0.290921,0.37696552,0.30025515,0.7486854,0.1717591,-67.80608
1,4,350,0.27693105,0.37492982,0.30627874,0.76234317,0.17009728,-64.605736
1,4,375,0.2748752,0.36812603,0.3007287,0.7412145,0.17008781,-67.13993
1,4,400,0.29024738,0.3710043,0.28874558,0.77822244,0.17080298,-66.988976
1,4,425,0.28340554,0.36599296,0.29296353,0.7418823,0.17127648,-69.80488
1,4,450,0.2679444,0.37178275,0.29085466,0.7191775,0.17050216,-67.53803
1,4,475,0.26532468,0.3685893,0.28154844,0.73496544,0.17020477,-69.27076
1,4,500,0.2593917,0.36471105,0.29051095,0.75971806,0.17030402,-63.273937
1,4,525,0.25833562,0.36392847,0.2778074,0.7615042,0.1701394,-72.714836
1,4,550,0.2613769,0.35263702,0.28250486,0.73031557,0.16939771,-73.724266
1,4,575,0.26159388,0.35429808,0.27423206,0.72558916,0.16952541,-70.04282
1,4,600,0.25271028,0.34853375,0.26603547,0.71929115,0.16928722,-75.21486
1,4,625,0.25418258,0.3349583,0.26949024,0.7103207,0.16995779,-74.09616
1,4,650,0.25704554,0.331237,0.25725472,0.6788907,0.17076379,-66.083824
1,4,675,0.25698343,0.3326486,0.26004705,0.69553757,0.1704142,-75.5236
1,4,700,0.24953884,0.3169281,0.2633245,0.70299613,0.1695259,-78.384445
1,4,725,0.25012007,0.3182438,0.26481894,0.6763215,0.1696695,-79.63728
1,4,750,0.24756055,0.31350127,0.26558274,0.65970373,0.16937728,-78.04734
1,4,775,0.25048417,0.30512825,0.25727877,0.66254663,0.1695547,-80.76898
1,4,800,0.25054532,0.3008017,0.25771785,0.6510627,0.17061935,-57.502583
1,4,825,0.24517564,0.2967368,0.25400186,0.6392044,0.17317258,-73.98325
1,4,850,0.2565429,0.29627827,0.26168478,0.65147936,0.17031427,-77.29219
1,4,875,0.24620906,0.2987027,0.26327375,0.639071,0.16962351,-68.08794
1,4,900,0.24845284,0.30497098,0.25093216,0.68592393,0.17144139,-71.81655
1,4,925,0.24690403,0.29708016,0.24865691,0.6532451,0.17154543,-58.313637
1,4,950,0.25359508,0.2885565,0.24772926,0.6563039,0.17135502,-75.96194
1,4,975,0.24713477,0.29268077,0.24386911,0.64775884,0.17047803,-67.27044
1,4,1000,0.24709824,0.2935954,0.2446289,0.61838174,0.17596987,-66.257034
1,5,0,0.87242144,0.11358262,0.098343804,0.071598165,0.09980231,16102.838
1,5,25,0.56128216,0.5586237,0.38298625,0.37967932,0.29252347,189.19617
1,5,50,0.55567867,0.7902646,0.42309433,0.5064671,0.32047695,117.595406
1,5,75,0.552207,0.7275457,0.3697615,0.55337393,0.29556766,72.23171
1,5,100,0.53332347,0.64262456,0.33939752,0.58190525,0.26624942,19.724169
1,5,125,0.51859564,0.5736185,0.3247067,0.65337026,0.23889898,-14.783798
1,5,150,0.5065515,0.51931036,0.3182101,0.6848949,0.2151508,-41.008568
1,5,175,0.5017827,0.47823957,0.3159132,0.66911614,0.19606689,-57.76681
1,5,200,0.49489722,0.46022645,0.3025796,0.7009657,0.18236253,-70.377335
1,5,225,0.49298406,0.4433649,0.29950193,0.6974839,0.1731079,-76.25812
1,5,250,0.4915936,0.42905468,0.3020275,0.7113067,0.16728672,-79.62662
1,5,275,0.4902332,0.4339285,0.29716465,0.6872772,0.16423076,-79.672455
1,5,300,0.48845977,0.42271525,0.29928243,0.68335915,0.16251989,-82.32002
1,5,325,0.4885211,0.42446798,0.29462206,0.6640307,0.16180912,-80.375565
1,5,350,0.48666844,0.41267475,0.29792228,0.67224604,0.16139168,-82.47129
1,5,375,0.4846318,0.40476072,0.2928068,0.7029898,0.16101433,-84.01678
1,5,400,0.48251277,0.40627334,0.29392472,0.7119416,0.16180333,-83.704735
1,5,425,0.48016292,0.4084395,0.28794205,0.68370783,0.16147515,-85.44035
1,5,450,0.48014218,0.3984756,0.28499523,0.70002633,0.16125847,-85.06501
1,5,475,0.4793892,0.39863947,0.27911574,0.68458235,0.16120166,-85.736664
1,5,500,0.47706836,0.392035,0.2752185,0.67411613,0.16132756,-87.98279
1,5,525,0.4706563,0.38679263,0.2690347,0.6831112,0.16081603,-88.22463
1,5,550,0.46983224,0.3797928,0.26404706,0.6628844,0.16065453,-91.0164
1,5,575,0.46216238,0.37254998,0.26030126,0.6513486,0.16138873,-92.416855
