outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,3,200,0.25279292,0.3595945,0.30632964,0.6862787,0.08482636,0.07456708,-1192.0527
1,3,225,0.28906313,0.3625238,0.29673415,0.6745416,0.07544653,0.085012846,-1187.4795
1,3,250,0.2376302,0.3666945,0.29329795,0.6366185,0.067588285,0.09267263,-1220.698
1,3,275,0.23960614,0.3529861,0.27887017,0.63993,0.06067679,0.09851386,-1234.1677
1,3,300,0.24615937,0.3493123,0.26837537,0.6022124,0.05508371,0.10621486,-1241.9506
1,3,325,0.24062154,0.3268807,0.25501823,0.59845704,0.05016893,0.10720894,-1261.2448
1,3,350,0.2270665,0.31705806,0.2501052,0.54934186,0.046235893,0.11969438,-1268.6115
1,3,375,0.24855666,0.3107501,0.24305853,0.5090658,0.04278521,0.11924543,-1276.4452
1,3,400,0.22293532,0.29586467,0.23683824,0.49335688,0.039886538,0.12173054,-1295.2545
1,3,425,0.21980919,0.28876236,0.23589088,0.4773973,0.037462056,0.1271882,-1295.2773
1,3,450,0.21991052,0.286018,0.2322635,0.4687327,0.03542906,0.12910599,-1295.3066
1,3,475,0.22512597,0.2825054,0.23051293,0.4760267,0.033721384,0.13246599,-1297.7576
1,3,500,0.23415422,0.28461826,0.2321657,0.47669995,0.032332156,0.13311891,-1297.9691
1,3,525,0.2200242,0.28600082,0.23292111,0.47013086,0.03127634,0.13421036,-1306.6157
1,3,550,0.22737263,0.28234738,0.22911362,0.47987935,0.030395899,0.13558742,-1299.071
1,3,575,0.21902122,0.28519315,0.2288656,0.47942394,0.029706445,0.13685252,-1302.4154
1,3,600,0.22736798,0.2838168,0.23186775,0.47700354,0.029176075,0.13898106,-1302.2922
1,3,625,0.22228624,0.28673592,0.23003674,0.46421915,0.028788479,0.13844861,-1300.773
1,3,650,0.21902536,0.2831016,0.2330198,0.46959993,0.02850814,0.13611285,-1309.2891
1,3,675,0.22194207,0.28464213,0.22907826,0.46992156,0.028305829,0.13857202,-1304.5298
1,3,700,0.2185754,0.2847432,0.22697778,0.47139582,0.028135352,0.13912006,-1308.7
1,3,725,0.22029065,0.28808463,0.23467511,0.46801972,0.02802605,0.14104173,-1292.5363
1,3,750,0.22271508,0.28566054,0.2299334,0.47778547,0.027991392,0.14121252,-1308.3076
1,3,775,0.23487067,0.2860131,0.22648944,0.4757606,0.027926126,0.13838956,-1296.016
1,3,800,0.22560097,0.28595614,0.23173235,0.46853292,0.02790897,0.13774318,-1298.9686
1,3,825,0.22522756,0.28753376,0.22666441,0.46687904,0.027901897,0.14123324,-1307.0135
1,3,850,0.22260503,0.28381485,0.22735392,0.47529408,0.027898189,0.13994704,-1310.1996
1,3,875,0.22196934,0.2861441,0.22526895,0.4777878,0.027903058,0.14244716,-1310.293
1,3,900,0.22328736,0.2860918,0.22864586,0.47361028,0.027878711,0.14075656,-1307.552
1,3,925,0.23261766,0.28697088,0.23044288,0.47911263,0.027829556,0.1378486,-1299.3983
1,3,950,0.22199099,0.2867937,0.23327085,0.4730979,0.027859466,0.1382057,-1311.7515
1,3,975,0.21891175,0.28676787,0.22971353,0.47392824,0.02787048,0.13829249,-1304.3263
1,3,1000,0.23091163,0.29081297,0.2252873,0.47429597,0.027882073,0.14063147,-1306.9791
1,4,0,0.5700687,0.13664144,0.12752835,-0.13616535,0.09715581,0.11295609,18846.074
1,4,25,1.8856882,0.3461118,0.54687,0.24357133,0.1873499,0.43323863,370.44733
1,4,50,1.2673979,0.37779874,0.663983,0.333001,0.20375387,0.49548236,326.9676
1,4,75,1.2526181,0.3809856,0.62265515,0.3410973,0.2131187,0.5011671,283.8682
1,4,100,1.2020489,0.3812952,0.57204926,0.3418803,0.21986699,0.46794015,235.58157
1,4,125,1.1695286,0.3811886,0.54550654,0.34208417,0.22482862,0.43571922,188.70892
1,4,150,1.128381,0.3806139,0.54922634,0.34274343,0.22688363,0.41303447,140.54181
1,4,175,1.0745723,0.3802354,0.5742161,0.3435888,0.2244738,0.39595962,86.562454
1,4,200,1.0114363,0.3799751,0.6031989,0.3460716,0.21715651,0.3836881,29.15905
1,4,225,0.928631,0.38037574,0.6204111,0.35255298,0.20539589,0.3735155,-40.555817
1,4,250,0.33180493,0.4376342,0.5970631,0.3477503,0.185979,0.27904052,-544.8628
1,4,275,0.28010705,0.7214107,0.4103112,0.5412097,0.1439202,0.09074601,-988.5546
1,4,300,0.2898809,0.6624771,0.3201474,0.783267,0.11722848,0.06427915,-1058.1726
1,4,325,0.26390257,0.55127317,0.30466098,0.80779123,0.10612674,0.07925665,-1091.8153
1,4,350,0.25102133,0.52454364,0.27260253,0.7742921,0.09474358,0.093699254,-1108.4125
1,4,375,0.24387164,0.50301236,0.25414944,0.74006313,0.08383323,0.1050981,-1134.8807
1,4,400,0.23870277,0.473037,0.23589851,0.70173585,0.07432662,0.1158314,-1154.4781
1,4,425,0.2364618,0.4404157,0.22362314,0.65146923,0.066103645,0.124431096,-1170.9747
1,4,450,0.23724009,0.41388926,0.21518311,0.60523033,0.059113197,0.131805,-1184.5756
1,4,475,0.23643036,0.39791194,0.21060765,0.57262266,0.053261016,0.13900067,-1192.0653
1,4,500,0.2364812,0.38954285,0.2094373,0.5594968,0.048296697,0.14354964,-1203.3977
1,4,525,0.23391847,0.3845405,0.20965704,0.55667543,0.044143688,0.14902581,-1212.8699
1,4,550,0.23238865,0.37758645,0.21009164,0.55699974,0.040584464,0.15227287,-1214.373
1,4,575,0.22886945,0.36905342,0.21010071,0.5452882,0.037536114,0.15524572,-1225.6075
1,4,600,0.23080367,0.36127397,0.20912613,0.53275496,0.034923475,0.15757616,-1236.2317
1,4,625,0.23039062,0.35848147,0.20933993,0.5327166,0.03269888,0.16114756,-1240.2078
1,4,650,0.2321547,0.3548464,0.20666493,0.52894735,0.03080969,0.16276152,-1255.8625
1,4,675,0.23565997,0.35021105,0.20584448,0.52021044,0.029230952,0.16195978,-1258.5491
1,4,700,0.22420566,0.3641995,0.20325777,0.4809184,0.028073922,0.16498034,-1259.419
1,4,725,0.23277806,0.34772816,0.2022566,0.4966364,0.027155848,0.16684936,-1262.2651
1,4,750,0.23614314,0.34133062,0.20101015,0.49201486,0.026338996,0.1653106,-1263.8699
1,4,775,0.24371696,0.34109053,0.20135514,0.48361966,0.025728999,0.16762853,-1268.7971
1,4,800,0.23127654,0.34218287,0.19895904,0.47886696,0.025289271,0.16834202,-1268.5392
1,4,825,0.23165464,0.3401361,0.20000781,0.47378677,0.024964815,0.16795783,-1272.1208
1,4,850,0.23825853,0.33966473,0.19844411,0.47686946,0.024739224,0.16914429,-1269.1216
1,4,875,0.24566098,0.33825868,0.19992387,0.4728708,0.024574652,0.16906516,-1272.0452
1,4,900,0.23231103,0.33827347,0.19913422,0.475654,0.024458796,0.16812259,-1269.8755
1,4,925,0.47578233,0.39325804,0.1961831,0.39450064,0.024562206,0.17340764,-1136.4054
1,4,950,0.20881197,0.48004392,0.20386492,0.34918657,0.025606304,0.17190878,-1252.409
1,4,975,0.24053355,0.34001777,0.20298699,0.54949987,0.025495214,0.16526271,-1266.6815
1,4,1000,0.24839315,0.3485972,0.1980678,0.50568366,0.025098052,0.16998765,-1266.983
1,5,0,0.83404887,0.10612438,0.054331593,-0.13618651,0.13128252,0.16060245,11327.567
1,5,25,0.66413707,0.4656293,0.15918256,0.313437,0.24117346,0.31246707,-569.5887
1,5,50,0.5770498,0.6135351,0.17345566,0.51283365,0.2128396,0.15012486,-773.09503
1,5,75,0.6177683,0.5735025,0.36161754,0.6934173,0.16483346,0.07411079,-1017.0612
1,5,100,0.7432955,0.45782822,0.35787147,0.81214255,0.1286236,0.050393615,-1111.4884
1,5,125,0.8326825,0.37485048,0.30307874,0.7631052,0.11024152,0.05190763,-1142.7561
1,5,150,0.731048,0.34772992,0.262947,0.66180503,0.098364554,0.06521024,-1141.9182
1,5,175,0.72443837,0.32133782,0.25168762,0.5985918,0.08676988,0.08037831,-1207.8253
1,5,200,0.6131349,0.2901648,0.24270426,0.5649697,0.07576253,0.092046134,-1231.3208
1,5,225,0.5459598,0.28140566,0.23158011,0.5367474,0.06644637,0.10246786,-1240.276
1,5,250,0.5408573,0.2812718,0.2268232,0.5320085,0.058687124,0.11059741,-1253.6296
1,5,275,0.54609096,0.2810207,0.22627261,0.5280025,0.052397802,0.11824176,-1271.3667
1,5,300,0.5541424,0.2776381,0.22342466,0.53388846,0.047242835,0.12195227,-1262.5817
1,5,325,0.5659437,0.27896187,0.22324644,0.52028394,0.04318751,0.12585574,-1263.2542
1,5,350,0.52983326,0.278203,0.21747537,0.5198736,0.04001104,0.1316331,-1270.2332
1,5,375,0.5527011,0.28195864,0.22150113,0.5135541,0.037445404,0.13182852,-1288.4579
1,5,400,0.58407545,0.2778817,0.2147661,0.51793134,0.035438955,0.13614063,-1294.8556
1,5,425,0.52374226,0.28052545,0.214314,0.51575273,0.033841934,0.13822366,-1281.578
1,5,450,0.5634148,0.2781207,0.21236628,0.52058554,0.03270234,0.14176129,-1283.6987
1,5,475,0.57870924,0.27849486,0.21474591,0.51666033,0.031802483,0.14239568,-1280.6522
1,5,500,0.5581867,0.27829632,0.20901702,0.5181457,0.031120239,0.14236714,-1288.6428
1,5,525,0.56581163,0.27908462,0.21543032,0.5142385,0.030651432,0.1444716,-1281.7808
1,5,550,0.5523076,0.3094584,0.21968547,0.5109181,0.030512225,0.14269008,-1265.816
1,5,575,0.5706516,0.2762877,0.21071145,0.51087266,0.030297946,0.14274567,-1286.3601
1,5,600,0.5808678,0.27911168,0.2119105,0.5139596,0.030016178,0.14373922,-1277.4272
1,5,625,0.5795033,0.27815452,0.2123179,0.5136245,0.029815216,0.14470083,-1281.16
1,5,650,0.5862229,0.28144136,0.20710044,0.5170207,0.029690359,0.1442967,-1290.4025
1,5,675,0.5604227,0.27847916,0.2147786,0.50305754,0.02962428,0.14393052,-1277.61
1,5,700,0.57868075,0.27859005,0.21530816,0.5090564,0.02955403,0.14256696,-1274.2487
1,5,725,0.5579238,0.27948332,0.2078517,0.51503,0.029582731,0.14373499,-1283.3918
1,5,750,0.58277285,0.28299004,0.21968336,0.5137604,0.029621849,0.1446866,-1292.0504
1,5,775,0.56180567,0.2757264,0.2143295,0.5063588,0.029576482,0.14341713,-1282.7806
1,5,800,0.5947314,0.2772731,0.210326,0.5180298,0.029524168,0.14155829,-1277.3375
1,5,825,0.5383454,0.27616814,0.21220279,0.5073296,0.029544191,0.14364071,-1284.6096
1,5,850,0.5388187,0.27752367,0.20846893,0.50756395,0.029538058,0.14391638,-1286.1118
1,5,875,0.523884,0.2806453,0.19753471,0.49864414,0.029551946,0.144749,-1282.9338
1,5,900,0.5260713,0.27448133,0.21935545,0.51070035,0.029569307,0.14117268,-1278.0219
1,5,925,0.51926637,0.27548742,0.21175878,0.51942766,0.029563056,0.14208452,-1282.7135
1,5,950,0.4848229,0.27723902,0.21336335,0.52088404,0.029570695,0.14621805,-1286.3998
1,5,975,0.45716456,0.26872158,0.20911974,0.5430686,0.029520927,0.1411674,-1289.1298
1,5,1000,0.432115,0.2706799,0.20846507,0.54414624,0.029449744,0.14202537,-1303.7407
1,6,0,0.6623424,0.11731372,0.09398881,-0.12758073,0.15341131,0.1285084,7821.419
1,6,25,0.37811458,0.5292376,0.32578346,0.44560668,0.26509535,0.21421374,-638.3708
1,6,50,0.35479912,0.6719623,0.298484,0.7058974,0.20876648,0.07996252,-918.387
1,6,75,0.34405166,0.556289,0.38284093,0.8303097,0.14608991,0.040488306,-1106.3201
1,6,100,0.35789654,0.44918108,0.35587406,0.8443815,0.11765206,0.042377487,-1122.3557
1,6,125,0.35617587,0.383036,0.33163032,0.83779603,0.10317497,0.06488296,-1184.1592
1,6,150,0.34387627,0.39967754,0.33402672,0.7961734,0.086605914,0.07986017,-1210.4553
1,6,175,0.35142362,0.3821433,0.31057358,0.8114203,0.07312191,0.09205755,-1220.8602
1,6,200,0.32682124,0.3653991,0.2952332,0.8053875,0.062533066,0.10126353,-1245.78
1,6,225,0.32618982,0.3582287,0.27506024,0.76410115,0.05450816,0.11434624,-1269.0549
1,6,250,0.3209073,0.33432022,0.265769,0.7365812,0.048162427,0.12306956,-1265.4551
1,6,275,0.30011502,0.29828098,0.23935014,0.7170063,0.043085665,0.12792023,-1301.2319
1,6,300,0.2974318,0.29017943,0.22598147,0.66362935,0.039335296,0.13672474,-1316.5092
1,6,325,0.2748299,0.2778011,0.2203491,0.699334,0.03643866,0.13699056,-1323.1967
1,6,350,0.27941135,0.2819768,0.22005862,0.68928164,0.034433644,0.13909465,-1329.4968
1,6,375,0.28198436,0.2797218,0.21510668,0.6939962,0.03300942,0.1431403,-1324.2656
1,6,400,0.29209742,0.28134224,0.22032157,0.68354934,0.032016095,0.14419475,-1325.442
1,6,425,0.2857564,0.2772569,0.21479274,0.7017932,0.031373158,0.14393641,-1322.1028
1,6,450,0.2891271,0.28179622,0.20701244,0.7092271,0.030965958,0.14856929,-1314.2765
1,6,475,0.29005757,0.2805071,0.21244322,0.686857,0.030713974,0.14737017,-1311.645
1,6,500,0.29221472,0.27998176,0.21209103,0.70078397,0.030565875,0.1446836,-1325.7987
1,6,525,0.300261,0.28365022,0.2239649,0.68491685,0.030548993,0.14428897,-1309.0911
1,6,550,0.30699173,0.28221795,0.21395025,0.70975566,0.030509219,0.14715093,-1341.1809
1,6,575,0.320713,0.2805947,0.21207117,0.67852545,0.030442731,0.14117847,-1320.0533
1,6,600,0.3216916,0.28123352,0.21381867,0.69432276,0.030392775,0.1399288,-1324.1781
1,6,625,0.32413715,0.28199065,0.2060976,0.6900132,0.030341199,0.14285594,-1339.7565
1,6,650,0.3212503,0.27727202,0.2144127,0.6863612,0.030198365,0.14111957,-1327.9137
1,6,675,0.3176655,0.2779321,0.21256997,0.6752889,0.030035267,0.14484936,-1329.639
1,6,700,0.31559733,0.28063235,0.20990804,0.6880673,0.029842868,0.14128011,-1341.0178
1,6,725,0.33046928,0.2797145,0.20864795,0.68201387,0.029732712,0.14150666,-1341.7546
1,6,750,0.32422274,0.2796798,0.21333724,0.6856152,0.029684573,0.14271715,-1335.9235
1,6,775,0.31569278,0.2830662,0.21035065,0.6744218,0.029622544,0.14682932,-1342.5093
1,6,800,0.32309744,0.2760047,0.22218971,0.6953487,0.029511783,0.13822065,-1341.0203
1,6,825,0.3235716,0.28109485,0.21189468,0.6901165,0.02955183,0.14023377,-1327.9912
1,6,850,0.31258652,0.28135222,0.21154606,0.6829688,0.029581226,0.1463234,-1335.2909
1,6,875,0.3277375,0.28502354,0.21080743,0.68613756,0.02956213,0.14848338,-1343.5703
1,6,900,0.32418275,0.2800215,0.21354043,0.68100655,0.029527178,0.14395168,-1344.9725
1,6,925,0.33084652,0.28404388,0.21850845,0.6803608,0.02951109,0.14159906,-1333.5355
1,6,950,0.32309175,0.2834476,0.20472099,0.70304084,0.029502062,0.1425739,-1335.112
1,6,975,0.31320667,0.28885362,0.21128717,0.68607116,0.02942833,0.14352103,-1335.4288
1,6,1000,0.30939314,0.2890923,0.20752229,0.6606283,0.029537594,0.14516716,-1335.4928
1,7,0,0.60361516,0.0977922,0.13785951,-0.31268543,0.09948615,0.0654893,21672.062
1,7,25,0.34057763,0.4221067,0.44678763,0.47213635,0.18959536,0.21458393,-751.8404
1,7,50,0.29755044,0.5592758,0.44056028,0.5870595,0.18434769,0.16094452,-864.8497
1,7,75,0.28106204,0.57499915,0.37215707,0.62464905,0.16268219,0.104093544,-977.0198
1,7,100,0.27800056,0.5240808,0.3266033,0.6688305,0.14266816,0.07623,-975.72375
1,7,125,0.27851164,0.4463846,0.31336048,0.69790375,0.12762342,0.066336945,-1089.3427
1,7,150,0.27769732,0.38369575,0.3145865,0.71756953,0.1171743,0.06821548,-1112.0214
1,7,175,0.2794368,0.35534042,0.30396053,0.7210182,0.1082246,0.07428191,-1066.9557
1,7,200,0.2713713,0.342517,0.29438132,0.7183789,0.10033588,0.08221476,-1130.6011
