outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,4,150,0.12446789,0.44784883,0.27053857,0.6364161,0.041252047,-709.7909
1,4,175,0.12278404,0.43556887,0.25104818,0.5817219,0.037652187,-719.72614
1,4,200,0.12001598,0.37784106,0.22537419,0.4713204,0.03624749,-740.9492
1,4,225,0.12010273,0.32141027,0.21683124,0.4101663,0.03583238,-756.1117
1,4,250,0.12127409,0.3137048,0.215151,0.4346133,0.036680013,-757.45074
1,4,275,0.1206834,0.31350774,0.21505024,0.43312198,0.037033547,-757.27716
1,4,300,0.12124532,0.3135703,0.21501726,0.4315783,0.03693096,-757.58966
1,4,325,0.12057287,0.31338373,0.21524751,0.43415633,0.036831807,-757.733
1,4,350,0.12058648,0.3134936,0.21436086,0.43442175,0.036821693,-757.2907
1,4,375,0.120799586,0.31415254,0.21490294,0.43026745,0.03681721,-757.2257
1,4,400,0.12113415,0.3134373,0.21642835,0.43433803,0.0368549,-758.03534
1,4,425,0.12142198,0.31352603,0.2151285,0.43257928,0.036949456,-756.8461
1,4,450,0.12053489,0.31372467,0.2141357,0.42972726,0.036868572,-757.393
1,4,475,0.12176434,0.313112,0.21455422,0.42907277,0.036904532,-757.8389
1,4,500,0.12074704,0.31401902,0.21525769,0.43045613,0.03692257,-757.7507
1,4,525,0.12084272,0.31291455,0.21535718,0.43317693,0.036853522,-757.10455
1,4,550,0.12050283,0.31363267,0.21558167,0.4261745,0.03681101,-756.475
1,4,575,0.120978415,0.31333625,0.21422029,0.4339318,0.03684812,-756.7816
1,4,600,0.12138321,0.31360105,0.2148036,0.4310956,0.0367778,-758.1955
1,4,625,0.121499985,0.31329006,0.21488024,0.42975804,0.036825027,-756.8183
1,4,650,0.12073702,0.3129414,0.2151485,0.43316543,0.03681618,-756.32526
1,4,675,0.1214387,0.31249818,0.2145721,0.42913485,0.03679906,-758.277
1,4,700,0.12054022,0.31398708,0.21491045,0.43140146,0.03680871,-759.12256
1,4,725,0.122334726,0.31275398,0.21463867,0.43292305,0.036817905,-757.90533
1,4,750,0.121634886,0.3118999,0.21471033,0.4329339,0.03676723,-758.67365
1,4,775,0.1207401,0.31074905,0.21500583,0.433962,0.03696186,-758.32434
1,4,800,0.60853136,0.37873045,0.5778248,0.70740235,0.04547618,504.8977
1,4,825,0.3493143,1.3405465,1.5080327,0.85945594,0.06346433,-554.1725
1,4,850,0.30468598,1.5182259,1.1910434,0.9001543,0.03629543,-613.55096
1,4,875,0.25074247,1.0535392,0.85168386,0.8977809,0.040511087,-642.341
1,4,900,0.15823099,0.61079067,0.46518427,0.82924193,0.039361883,-687.65607
1,4,925,0.11554721,0.29646918,0.21671481,0.51983786,0.040151335,-730.2486
1,4,950,0.11641558,0.3102427,0.22481014,0.5426373,0.040109538,-736.94104
1,4,975,0.11674296,0.29856783,0.2119808,0.49667752,0.03984415,-739.3008
